itemID,Tongan Word,Dictionary Page,Number of Letters,Number of Phonemes,Number of Moras,Part of Speech,Meaning in English,Number of Participants,Reaction Time,Accuracy
1,afā,71,3,4,3,noun," (n) hurricane, gale, or very severe storm",24,570,0.96
2,afe,71,3,3,2,numeral," (num) a thousand (1,000)",24,560,0.88
3,afe‘anga,71,8,7,4,noun, (n) place where one turns aside; cause or reason for which one deviates,26,538,1.00
4,afi,71,3,3,2,noun, (n) fire,24,628,0.92
5,ahi,71,3,3,2,noun, (n) sandal-wood,24,710,0.88
6,ai,71,2,2,2,adverb, (adv) there; in it; on it; because of it,32,578,0.78
7,ai pē,71,4,5,4,adverb, (adv) still (continuing as it was); always; like,23,514,0.91
8,aka,71,3,3,2,noun, (n) root,24,605,0.79
9,ako,71,3,3,2,verb, (v) to learn; to study; to receive education,25,539,1.00
10,ako‘anga,71,8,7,4,noun," (n) seat of learning, educational institution; school (higher level)",24,588,1.00
11,akoako,71,6,6,4,verb, (v) to study; to engage in continuous study or training,29,552,0.86
12,akoʻi,71,5,5,3,verb, (v) to teach,24,555,1.00
13,akonaki,71,7,7,4,verb, (v) to teach; to give instruction or counsel (esp. morality & religion),32,505,1.00
14,akonaki‘i,71,9,9,5,verb," (v) to instruct (esp. in morality, right behaviour, or religion)",24,511,1.00
15,akongata‘a,71,10,9,5,adjective/verb, (adj/v) difficult to learn,24,633,1.00
16,akongofua,71,9,8,5,adjective/verb, (adj/v) easy to learn,26,635,0.96
17,ala,71,3,3,2,verb, (v) to touch; to put out one's hand to; finger; meddle with,29,519,0.93
18,alanga,71,6,5,3,noun, (n) thigh; upper part of leg,24,556,0.96
19,aleaʻi,71,6,6,4,verb, (v) to discuss; to have a discussion or conference about,24,648,0.79
20,angafai,71,7,6,4,noun, (n) way of doing things; way of acting; behaviour; conduct; way something is done,24,911,0.71
21,anga-faingata‘a,71,14,12,7,adjective/verb, (adj/v) not easy-going; difficult to approach or relate with; obstinate; stubborn,32,547,0.97
22,anga-faingofua,71,13,11,7,adjective/verb, (adj/v) easy-going; easy to approach; easy to get on with; not stubborn,24,615,0.88
23,anga-fakalongolongo,71,18,15,8,adjective/verb, (adj/v) often silent; rarely saying much; uncommunicative; taciturn,24,557,0.96
24,angahala,71,8,7,4,adjective, (adj) sinful,26,537,0.96
25,angahala‘ia,71,11,10,6,adjective, (adj) doing wrong; sinful,24,557,0.96
26,anovai,71,6,6,4,noun, (n) lake,24,626,0.71
27,angahia,72,7,6,4,noun, (n) wrongdoing; sin,32,600,0.88
28,anga-kehe,72,8,7,4,adjective/verb," (adj/v) often acting differently from others, abnormal in behaviour; peculiar, strange, or unusual in nature; eccentric; perverse",24,574,1.00
29,anga-kovi,72,8,7,4,adjective/verb, (adj/v) of bad character or disposition; badly behaved; unkind,24,518,1.00
30,anga-mokomoko,72,12,11,6,adjective/verb, (adj/v) lacking in fervour or enthusiasm; cold- hearted,26,562,1.00
31,anga-ta‘e‘ofa,72,12,11,6,adjective/verb, (adj/v) of an unkind or unloving disposition; unkind,24,666,0.96
32,ata,72,3,3,2,noun, (n) twilight; morning twilight; early dawn,24,657,0.96
33,aʻu,72,3,3,2,verb, (v) to arrive; to reach or extend to,24,539,0.92
34,ava,72,3,3,2,noun, (n) hole; aperture; opening,24,565,0.96
35,avaava,72,6,6,4,adjective/verb, (adj/v) full of holes or openings or perforations; perforated,26,628,0.85
36,ē,72,1,2,2,pronoun," (pron) this, that, these, those",24,635,0.92
37,efiafi,72,6,6,4,noun, (n) afternoon; early evening,29,600,0.93
38,efu,72,3,3,2,noun, (n) dust,24,663,0.83
39,ena,72,3,3,2,pronoun, (pron) that or those near you,24,570,0.75
40,engeenga,72,8,6,4,adjective, (adj) yellow,26,659,0.88
41,eni,72,3,3,2,pronoun, (pron) this; these;,24,612,0.92
42,fā,72,2,3,2,numeral, (num)four (4),24,599,1.00
43,fafa,72,4,4,2,verb, (v) to carry on the back; to be carried or have a ride on someone's back,32,541,1.00
44,fafana,72,6,6,3,verb, (v) to whisper,24,515,0.96
45,fafanga,72,7,6,3,verb, (v) to feed; to provide food for,24,519,0.92
46,fafangu,72,7,6,3,noun, (n) bell,26,525,0.96
47,fafine,72,6,6,3,noun, (n) (pl. of fefine) women,24,650,0.96
48,fahi,72,4,4,2,verb, (v) to split (wood); to slaughter (animal for meat); to chop (coconut in half),29,498,0.97
49,fai,73,3,3,2,noun, (n) skate or sting-ray,24,657,0.92
50,fai lau,73,6,6,4,verb, (v) to come into leaf; to begin _ to produce leaves,32,507,0.97
51,fai tohi,73,7,7,4,verb, (v) to write a letter or letters,24,606,1.00
52,fai‘aho,73,7,7,4,verb, (v) to have a birthday party,24,560,1.00
53,fai‘anga,73,8,7,4,noun, (n) place where something is done or conducted or held,26,522,1.00
54,faiako,73,6,6,4,noun, (n) school teacher,24,582,1.00
55,faifakatau,73,10,10,6,noun," (n) shopkeeper, sales person",29,654,0.93
56,faifekau,73,8,8,5,noun, (n) minister; clergyman; missionary,24,618,0.96
57,faifolau,73,8,8,5,noun, (n) navigator,32,735,0.97
58,faihala,73,7,7,4,noun, (n) a wrong doing; wrongdoer,24,615,1.00
59,faihiva,73,7,7,4,noun, (n) choir conductor; singing master,24,679,1.00
60,faikakai,73,8,8,5,noun, (n) native pudding made of bread or various starchy vegetables,26,634,1.00
61,faikava,73,7,7,4,verb, (v) to prepare and drink kava together,24,550,1.00
62,faikehe,73,7,7,4,adjective, (adj) different; gueer; unusual; extraordinary,29,492,0.79
63,faikehekehe,73,11,11,6,adjective, (adj) different from one another; of different kinds,24,538,1.00
64,failautohi,73,10,10,6,noun, (n) teacher (usually refers to primary teachers in Govt schools),32,570,1.00
65,failēsisita,73,11,12,7,noun, (n) registrar,24,783,1.00
66,failotu,73,7,7,4,noun, (n) leader of a prayer meeting,26,505,0.96
67,faingamālie,73,11,11,7,adjective, (adj) convenient; opportune; advantageous,24,616,1.00
68,faingāme‘a,73,10,10,6,noun," (n) affair incident, of an unpleasant nature",29,560,1.00
69,faingata‘a,73,10,9,5,noun," (n) difficulty; trouble, disaster, misadventure",24,485,1.00
70,faingataʻaʻia,73,13,12,7,verb, (v) to be in difficulty or trouble; to find difficult,32,578,0.97
71,faingatāmaki,73,12,12,7,adjective," (adj) inconvenient, inopportune, disadvantageous, etc.",24,494,1.00
72,faingofua,73,9,8,5,adjective, (adj) easy to do; easy,24,537,0.92
